type_id,kind_id,id,name,search_word,carbohydrate_per_100g,carbohydrate_per_weight,weight,weight_hint,calory,protein,fat,sodium,deleted_flg
1,1,1,アマランサス,,50.1,50.1,100,,358,12.7,6,1,FALSE
1,1,2,あわ,,63.1,63.1,100,,367,11.2,4.4,1,FALSE
1,1,3,えんばく(オートミール),,50.3,50.3,100,,380,13.7,5.7,1,FALSE
1,1,4,おおむぎ（七分つき押し麦),,51.5,51.5,100,,341,10.9,2.1,2,FALSE
1,1,5,小麦粉薄力粉,,70.8,70.8,100,,367,8.3,1.5,0,FALSE
1,1,6,小麦粉強力粉,,66.3,66.3,100,,365,11.8,1.5,0,FALSE
1,1,7,小麦粉プレミックス粉（ホットケーキ用）,,70.7,70.7,100,,365,7.8,4,3.9,FALSE
1,1,8,小麦粉プレミックス粉（天ぷら用）,,71.1,71.1,100,,351,8.8,1.3,2.1,FALSE
1,1,9,食パン（6枚切り1枚）,,44.3,26.6,60,,158,5.6,2.6,0.8,FALSE
1,1,10,コッペパン,,47.1,42.4,90,,239,7.7,3.4,1.2,FALSE
1,1,11,乾パン,,76,7.6,10,,39,1,0.4,0.1,FALSE
1,1,12,フランスパン,,54.8,32.9,60,,167,5.6,0.8,1,FALSE
1,1,13,ライ麦パン（6枚切り1枚）,,47.2,28.3,60,,158,5,1.3,0.7,FALSE
1,1,14,ぶどうパン,,49,14.7,30,,81,2.5,1.1,0.3,FALSE
1,1,15,ロールパン,,46.7,14,30,,95,3,2.7,0.4,FALSE
1,1,16,クロワッサン,,42,18.9,45,,202,3.6,12.1,0.5,FALSE
1,1,17,イングリッシュマフィン,,39.7,23.8,60,,137,4.9,2.2,0.7,FALSE
1,1,18,ナン,,45.6,36.5,80,,210,8.2,2.7,1,FALSE
1,1,19,ベーグル,,52.1,46.9,90,,248,8.6,1.8,1.1,FALSE
1,1,20,うどん（ゆで）,,20.8,62.4,300,,315,7.8,1.2,0.9,FALSE
1,1,21,干しうどん（ゆで）,,25.1,60.2,240,,302,7.4,1.2,1.2,FALSE
